,Disease Code,Disease,Symptom Code,Symptom,Weight,Noise
437,C0007097,carcinoma,none,heartburn,0.6,0.03
438,C0007097,carcinoma,none,nausea,0.9,0.03
439,C0007097,carcinoma,none,lung nodule,0.6,0.03
440,C0019196,hepatitis C,none,ascites,0.3,0.03
441,C0019196,hepatitis C,none,distended abdomen,0.6,0.03
442,C0019196,hepatitis C,none,feeling suicidal,0.1,0.03
443,C0019196,hepatitis C,none,cough,0.9,0.03
444,C0019196,hepatitis C,none,ache,0.6,0.03
445,C0019196,hepatitis C,none,macerated skin,0.3,0.03
446,C0019196,hepatitis C,none,heavy feeling,0.6,0.03
447,C0019196,hepatitis C,none,hallucinations auditory,0.1,0.03
448,C0019196,hepatitis C,none,chill,0.6,0.03
449,C0019196,hepatitis C,none,asterixis,0.3,0.03
450,C0019196,hepatitis C,none,patient non compliance,0.3,0.03
451,C0085096,peripheral vascular disease,none,shortness of breath,0.9,0.03
452,C0085096,peripheral vascular disease,none,rest pain,0.6,0.03
453,C0085096,peripheral vascular disease,none,angina pectoris,0.6,0.03
454,C0085096,peripheral vascular disease,none,unresponsiveness,0.3,0.03
455,C0085096,peripheral vascular disease,none,hyperkalemia,0.3,0.03
456,C0085096,peripheral vascular disease,none,sinus rhythm,0.3,0.03
457,C0085096,peripheral vascular disease,none,labored breathing,0.6,0.03
458,C0085096,peripheral vascular disease,none,dyspnea,0.9,0.03
459,C0085096,peripheral vascular disease,none,sore to touch,0.3,0.03
460,C0085096,peripheral vascular disease,none,anorexia,0.3,0.03
461,C0085096,peripheral vascular disease,none,sleepy,0.3,0.03
462,C0020473,hyperlipidemia,none,pain chest,0.6,0.03
463,C0020473,hyperlipidemia,none,angina pectoris,0.6,0.03
464,C0020473,hyperlipidemia,none,palpitation,0.6,0.03
465,C0020473,hyperlipidemia,none,presence of q wave,0.3,0.03
466,C0020473,hyperlipidemia,none,photopsia,0.1,0.03
467,C0020473,hyperlipidemia,none,sweat,0.6,0.03
468,C0020473,hyperlipidemia,none,sweating increased,0.6,0.03
469,C0020473,hyperlipidemia,none,chest discomfort,0.6,0.03
470,C0020473,hyperlipidemia,none,shortness of breath,0.6,0.03
471,C0020473,hyperlipidemia,none,giddy mood,0.3,0.03
472,C0020473,hyperlipidemia,none,hypokinesia,0.3,0.03
473,C0020473,hyperlipidemia,none,hemiplegia,0.1,0.03
474,C0020473,hyperlipidemia,none,dizziness,0.6,0.03
475,C0005586,bipolar disorder,none,feeling suicidal,0.6,0.03
476,C0005586,bipolar disorder,none,energy increased,0.6,0.03
477,C0005586,bipolar disorder,none,suicidal,0.6,0.03
478,C0005586,bipolar disorder,none,irritable mood,0.9,0.03
479,C0005586,bipolar disorder,none,agitation,0.9,0.03
480,C0005586,bipolar disorder,none,has religious belief,0.3,0.03
481,C0005586,bipolar disorder,none,disturbed family,0.6,0.03
482,C0005586,bipolar disorder,none,hallucinations auditory,0.6,0.03
483,C0005586,bipolar disorder,none,verbal auditory hallucinations,0.6,0.03
484,C0005586,bipolar disorder,none,weepiness,0.6,0.03
485,C0005586,bipolar disorder,none,behavior hyperactive,0.6,0.03
486,C0005586,bipolar disorder,none,catatonia,0.3,0.03
487,C0005586,bipolar disorder,none,feeling hopeless,0.6,0.03
488,C0005586,bipolar disorder,none,worry,0.9,0.03
489,C0005586,bipolar disorder,none,sleeplessness,0.9,0.03
490,C0005586,bipolar disorder,none,hypersomnia,0.6,0.03
491,C0005586,bipolar disorder,none,difficulty,0.9,0.03
492,C0005586,bipolar disorder,none,hallucinations visual,0.3,0.03
493,C0005586,bipolar disorder,none,hyperhidrosis disorder,0.3,0.03
494,C0005586,bipolar disorder,none,mydriasis,0.3,0.03
495,C0005586,bipolar disorder,none,extrapyramidal sign,0.3,0.03
496,C0005586,bipolar disorder,none,loose associations,0.6,0.03
497,C0005586,bipolar disorder,none,intoxication,0.3,0.03
498,C0005586,bipolar disorder,none,motor retardation,0.6,0.03
499,C0005586,bipolar disorder,none,homelessness,0.3,0.03
500,C0005586,bipolar disorder,none,blackout,0.3,0.03
501,C0005586,bipolar disorder,none,tremor,0.3,0.03
502,C0005586,bipolar disorder,none,exhaustion,0.6,0.03
503,C0028754,obesity,none,pain,0.6,0.03
504,C0028754,obesity,none,catatonia,0.1,0.03
505,C0028754,obesity,none,snore,0.6,0.03
506,C0028754,obesity,none,pain chest,0.6,0.03
507,C0028754,obesity,none,r wave feature,0.3,0.03
508,C0028754,obesity,none,has religious belief,0.3,0.03
509,C0028754,obesity,none,shortness of breath,0.9,0.03
510,C0028754,obesity,none,fatigue,0.9,0.03
511,C0028754,obesity,none,tired,0.9,0.03
512,C0028754,obesity,none,overweight,0.9,0.03
513,C0028754,obesity,none,systolic murmur,0.3,0.03
514,C0028754,obesity,none,mood depressed,0.6,0.03
515,C0028754,obesity,none,ecchymosis,0.3,0.03
516,C0022116,ischemia,none,drowsiness,0.6,0.03
517,C0022116,ischemia,none,sleepy,0.6,0.03
518,C0022116,ischemia,none,pain chest,0.6,0.03
519,C0022116,ischemia,none,angina pectoris,0.6,0.03
520,C0022116,ischemia,none,pressure chest,0.6,0.03
521,C0022116,ischemia,none,chest discomfort,0.6,0.03
522,C0022116,ischemia,none,shortness of breath,0.6,0.03
523,C0022116,ischemia,none,dyspnea,0.6,0.03
524,C0022116,ischemia,none,sinus rhythm,0.3,0.03
525,C0022116,ischemia,none,bradycardia,0.3,0.03
526,C0022116,ischemia,none,sweat,0.3,0.03
527,C0022116,ischemia,none,sweating increased,0.3,0.03
528,C0022116,ischemia,none,rale,0.3,0.03
529,C0022116,ischemia,none,asymptomatic,0.1,0.03
530,C0022116,ischemia,none,anorexia,0.3,0.03
531,C1623038,cirrhosis,none,ascites,0.6,0.03
532,C1623038,cirrhosis,none,fall,0.6,0.03
533,C1623038,cirrhosis,none,splenomegaly,0.6,0.03
534,C1623038,cirrhosis,none,pruritus,0.9,0.03
535,C1623038,cirrhosis,none,pain abdominal,0.9,0.03
536,C1623038,cirrhosis,none,tumor cell invasion,0.1,0.03
537,C1623038,cirrhosis,none,distended abdomen,0.6,0.03
538,C1623038,cirrhosis,none,lesion,0.3,0.03
539,C1623038,cirrhosis,none,hemodynamically stable,0.3,0.03
540,C1623038,cirrhosis,none,guaiac positive,0.3,0.03
541,C1623038,cirrhosis,none,sore to touch,0.6,0.03
542,C1623038,cirrhosis,none,bleeding of vagina,0.3,0.03
543,C0015230,exanthema,none,fever,0.9,0.03
544,C0015230,exanthema,none,pruritus,0.6,0.03
545,C0015230,exanthema,none,macule,0.6,0.03
546,C0015230,exanthema,none,lesion,0.6,0.03
547,C0015230,exanthema,none,redness,0.9,0.03
548,C0015230,exanthema,none,headache,0.6,0.03
549,C0015230,exanthema,none,apyrexial,0.3,0.03
550,C0015230,exanthema,none,arthralgia,0.6,0.03
551,C0015230,exanthema,none,swelling,0.6,0.03
552,C0015230,exanthema,none,erythema,0.6,0.03
553,C0015230,exanthema,none,photophobia,0.3,0.03
554,C0015230,exanthema,none,chill,0.6,0.03
555,C0015230,exanthema,none,scratch marks,0.3,0.03
556,C0015230,exanthema,none,pain,0.6,0.03
557,C0015230,exanthema,none,painful swallowing,0.3,0.03
558,C0005001,benign prostatic hypertrophy,none,mental status changes,0.3,0.03
559,C0005001,benign prostatic hypertrophy,none,cachexia,0.1,0.03
560,C0005001,benign prostatic hypertrophy,none,blackout,0.3,0.03
561,C0005001,benign prostatic hypertrophy,none,orthostasis,0.3,0.03
562,C0005001,benign prostatic hypertrophy,none,orthopnea,0.3,0.03
563,C0005001,benign prostatic hypertrophy,none,night sweat,0.3,0.03
564,C0005001,benign prostatic hypertrophy,none,distress respiratory,0.6,0.03
565,C0005001,benign prostatic hypertrophy,none,anorexia,0.6,0.03
566,C0005001,benign prostatic hypertrophy,none,dysarthria,0.3,0.03
567,C0022660,kidney failure acute,none,hyperkalemia,0.6,0.03
568,C0022660,kidney failure acute,none,hypotension,0.6,0.03
569,C0022660,kidney failure acute,none,hypocalcemia result,0.3,0.03
570,C0022660,kidney failure acute,none,oliguria,0.6,0.03
571,C0022660,kidney failure acute,none,hemodynamically stable,0.6,0.03
572,C0022660,kidney failure acute,none,asthenia,0.6,0.03
573,C0022660,kidney failure acute,none,hypothermia,0.3,0.03
574,C0022660,kidney failure acute,none,diarrhea,0.3,0.03
575,C0022660,kidney failure acute,none,haemorrhage,0.1,0.03
576,C0022660,kidney failure acute,none,unresponsiveness,0.1,0.03
577,C0026266,mitral valve insufficiency,none,shortness of breath,0.9,0.03
578,C0026266,mitral valve insufficiency,none,dyspnea on exertion,0.9,0.03
579,C0026266,mitral valve insufficiency,none,asymptomatic,0.1,0.03
580,C0026266,mitral valve insufficiency,none,hypokinesia,0.3,0.03
581,C0026266,mitral valve insufficiency,none,dyspnea,0.9,0.03
582,C0026266,mitral valve insufficiency,none,syncope,0.3,0.03
583,C0026266,mitral valve insufficiency,none,thicken,0.3,0.03
584,C0026266,mitral valve insufficiency,none,leftatrialhypertrophy,0.6,0.03
585,C0026266,mitral valve insufficiency,none,palpitation,0.6,0.03
586,C0026266,mitral valve insufficiency,none,fatigue,0.6,0.03
587,C0026266,mitral valve insufficiency,none,vomiting,0.3,0.03
588,C0026266,mitral valve insufficiency,none,pain,0.6,0.03
589,C0026266,mitral valve insufficiency,none,cardiomegaly,0.6,0.03
590,C0026266,mitral valve insufficiency,none,chest discomfort,0.6,0.03
591,C0003864,arthritis,none,pain,0.9,0.03
592,C0003864,arthritis,none,hemodynamically stable,0.3,0.03
593,C0003864,arthritis,none,sleeplessness,0.6,0.03
594,C0003864,arthritis,none,asthenia,0.6,0.03
595,C0003864,arthritis,none,syncope,0.3,0.03
596,C0003864,arthritis,none,swelling,0.6,0.03
597,C0003864,arthritis,none,atypia,0.3,0.03
598,C0003864,arthritis,none,general unsteadiness,0.6,0.03
599,C0003864,arthritis,none,shortness of breath,0.6,0.03
600,C0003864,arthritis,none,distended abdomen,0.3,0.03
601,C0006277,bronchitis,none,cough,0.9,0.03
602,C0006277,bronchitis,none,wheezing,0.6,0.03
603,C0006277,bronchitis,none,shortness of breath,0.9,0.03
604,C0006277,bronchitis,none,chest tightness,0.6,0.03
605,C0006277,bronchitis,none,fever,0.6,0.03
606,C0006277,bronchitis,none,throat sore,0.6,0.03
607,C0006277,bronchitis,none,productive cough,0.6,0.03
608,C0006277,bronchitis,none,hepatosplenomegaly,0.3,0.03
609,C0006277,bronchitis,none,night sweat,0.3,0.03
610,C0006277,bronchitis,none,haemoptysis,0.3,0.03
611,C0006277,bronchitis,none,labored breathing,0.6,0.03
612,C0006277,bronchitis,none,snuffle,0.3,0.03
613,C0006277,bronchitis,none,hacking cough,0.6,0.03
614,C0006277,bronchitis,none,dyspnea,0.6,0.03
615,C0006277,bronchitis,none,chill,0.3,0.03
616,C0006277,bronchitis,none,stridor,0.3,0.03
617,C0006277,bronchitis,none,decreased body weight,0.3,0.03
618,C0018989,hemiparesis,none,dysarthria,0.6,0.03
619,C0018989,hemiparesis,none,paresis,0.6,0.03
620,C0018989,hemiparesis,none,asthenia,0.6,0.03
621,C0018989,hemiparesis,none,aphagia,0.3,0.03
622,C0018989,hemiparesis,none,seizure,0.3,0.03
623,C0018989,hemiparesis,none,speech slurred,0.6,0.03
624,C0018989,hemiparesis,none,focal seizures,0.3,0.03
625,C0018989,hemiparesis,none,hemiplegia,0.6,0.03
626,C0018989,hemiparesis,none,abnormal sensation,0.6,0.03
627,C0018989,hemiparesis,none,unresponsiveness,0.3,0.03
628,C0018989,hemiparesis,none,stupor,0.3,0.03
629,C0018989,hemiparesis,none,drowsiness,0.6,0.03
630,C0018989,hemiparesis,none,sleepy,0.6,0.03
631,C0018989,hemiparesis,none,fremitus,0.3,0.03
632,C0018989,hemiparesis,none,Stahli,0.1,0.03
633,C0018989,hemiparesis,none,stinging sensation,0.3,0.03
634,C0018989,hemiparesis,none,paralyse,0.3,0.03
635,C0018989,hemiparesis,none,clonus,0.3,0.03
636,C0018989,hemiparesis,none,facial paresis,0.6,0.03
637,C0029456,osteoporosis,none,prostatism,0.3,0.03
638,C0029456,osteoporosis,none,fall,0.6,0.03
639,C0029456,osteoporosis,none,hirsutism,0.1,0.03
640,C0029456,osteoporosis,none,sniffle,0.3,0.03
641,C0029456,osteoporosis,none,distended abdomen,0.3,0.03
642,C0029456,osteoporosis,none,vertigo,0.6,0.03
643,C0029456,osteoporosis,none,numbness of hand,0.3,0.03
644,C0029456,osteoporosis,none,bradykinesia,0.3,0.03
645,C0029456,osteoporosis,none,pain,0.9,0.03
646,C0029456,osteoporosis,none,syncope,0.3,0.03
647,C0029456,osteoporosis,none,out of breath,0.6,0.03
648,C0029456,osteoporosis,none,apyrexial,0.6,0.03
649,C0029456,osteoporosis,none,urge incontinence,0.3,0.03
650,C0029456,osteoporosis,none,lightheadedness,0.6,0.03
651,C0007787,transient ischemic attack,none,speech slurred,0.6,0.03
652,C0007787,transient ischemic attack,none,dysarthria,0.6,0.03
653,C0007787,transient ischemic attack,none,facial paresis,0.6,0.03
654,C0007787,transient ischemic attack,none,asthenia,0.6,0.03
655,C0007787,transient ischemic attack,none,neck stiffness,0.3,0.03
656,C0007787,transient ischemic attack,none,vertigo,0.6,0.03
657,C0007787,transient ischemic attack,none,numbness,0.9,0.03
658,C0007787,transient ischemic attack,none,lightheadedness,0.9,0.03
659,C0007787,transient ischemic attack,none,extrapyramidal sign,0.1,0.03
660,C0007787,transient ischemic attack,none,Stahli,0.1,0.03
661,C0007787,transient ischemic attack,none,vision blurred,0.6,0.03
662,C0007787,transient ischemic attack,none,headache,0.9,0.03
663,C0007787,transient ischemic attack,none,room spinning,0.6,0.03
664,C0007787,transient ischemic attack,none,syncope,0.3,0.03
665,C0007787,transient ischemic attack,none,difficulty,0.6,0.03
666,C0007787,transient ischemic attack,none,rambling speech,0.6,0.03
667,C0007787,transient ischemic attack,none,clumsiness,0.6,0.03
668,C0001418,adenocarcinoma,none,mass of body structure,0.6,0.03
669,C0001418,adenocarcinoma,none,lesion,0.6,0.03
670,C0001418,adenocarcinoma,none,decreased body weight,0.6,0.03
671,C0001418,adenocarcinoma,none,constipation,0.6,0.03
672,C0001418,adenocarcinoma,none,fremitus,0.3,0.03
673,C0001418,adenocarcinoma,none,decreased stool caliber,0.6,0.03
674,C0001418,adenocarcinoma,none,satiety early,0.6,0.03
675,C0001418,adenocarcinoma,none,hematochezia,0.6,0.03
676,C0001418,adenocarcinoma,none,egophony,0.3,0.03
677,C0001418,adenocarcinoma,none,pain,0.9,0.03
678,C0001418,adenocarcinoma,none,cicatrisation,0.3,0.03
679,C0001418,adenocarcinoma,none,scar tissue,0.6,0.03
680,C0001418,adenocarcinoma,none,pain abdominal,0.9,0.03
681,C1456784,paranoia,none,hallucinations auditory,0.3,0.03
682,C1456784,paranoia,none,hallucinations visual,0.3,0.03
683,C1456784,paranoia,none,agitation,0.6,0.03
684,C1456784,paranoia,none,irritable mood,0.6,0.03
685,C1456784,paranoia,none,verbal auditory hallucinations,0.3,0.03
686,C1456784,paranoia,none,feeling suicidal,0.3,0.03
687,C1456784,paranoia,none,suicidal,0.3,0.03
688,C1456784,paranoia,none,terrify,0.3,0.03
689,C1456784,paranoia,none,neologism,0.3,0.03
690,C1456784,paranoia,none,homelessness,0.3,0.03
691,C1456784,paranoia,none,energy increased,0.6,0.03
692,C1456784,paranoia,none,mood depressed,0.6,0.03
693,C1456784,paranoia,none,decompensation,0.3,0.03
694,C1456784,paranoia,none,cicatrisation,0.3,0.03
695,C1456784,paranoia,none,scar tissue,0.3,0.03
696,C1456784,paranoia,none,blackout,0.3,0.03
697,C1456784,paranoia,none,loose associations,0.3,0.03
698,C0021167,incontinence,none,paraparesis,0.3,0.03
699,C0021167,incontinence,none,seizure,0.3,0.03
700,C0021167,incontinence,none,asthenia,0.6,0.03
701,C0021167,incontinence,none,urge incontinence,0.6,0.03
702,C0021167,incontinence,none,unconscious state,0.3,0.03
703,C0021167,incontinence,none,aura,0.3,0.03
704,C0021167,incontinence,none,moody,0.6,0.03
705,C0021167,incontinence,none,fear of falling,0.6,0.03
706,C0021167,incontinence,none,tremor,0.6,0.03
707,C0021167,incontinence,none,spasm,0.6,0.03
708,C0021167,incontinence,none,unhappy,0.6,0.03
709,C0021167,incontinence,none,syncope,0.3,0.03
710,C0021167,incontinence,none,fall,0.6,0.03
711,C0021167,incontinence,none,stiffness,0.6,0.03
712,C0021167,incontinence,none,unresponsiveness,0.3,0.03
713,C0013405,paroxysmaldyspnea,none,orthopnea,0.6,0.03
714,C0013405,paroxysmaldyspnea,none,shortness of breath,0.9,0.03
715,C0013405,paroxysmaldyspnea,none,dyspnea on exertion,0.9,0.03
716,C0013405,paroxysmaldyspnea,none,jugular venous distention,0.6,0.03
717,C0013405,paroxysmaldyspnea,none,rale,0.6,0.03
718,C0013405,paroxysmaldyspnea,none,pain chest,0.6,0.03
719,C0013405,paroxysmaldyspnea,none,palpitation,0.6,0.03
720,C0013405,paroxysmaldyspnea,none,sweat,0.6,0.03
721,C0013405,paroxysmaldyspnea,none,sweating increased,0.6,0.03
722,C0013405,paroxysmaldyspnea,none,weight gain,0.3,0.03
723,C0013405,paroxysmaldyspnea,none,cough,0.6,0.03
724,C0013405,paroxysmaldyspnea,none,dyspnea,0.9,0.03
725,C0019270,hernia,none,pain abdominal,0.6,0.03
726,C0019270,hernia,none,pain,0.9,0.03
727,C0019270,hernia,none,hyperventilation,0.3,0.03
728,C0019270,hernia,none,excruciating pain,0.1,0.03
729,C0019270,hernia,none,gag,0.3,0.03
730,C0019270,hernia,none,nausea,0.6,0.03
731,C0019270,hernia,none,posturing,0.1,0.03
732,C0019270,hernia,none,hemiplegia,0.1,0.03
733,C0019270,hernia,none,sore to touch,0.6,0.03
734,C0019270,hernia,none,haemorrhage,0.3,0.03
735,C0019270,hernia,none,apyrexial,0.3,0.03
736,C0019270,hernia,none,food intolerance,0.6,0.03
737,C0019270,hernia,none,pulse absent,0.1,0.03
738,C0019270,hernia,none,asthenia,0.6,0.03
739,C0019270,hernia,none,mass of body structure,0.3,0.03
740,C0019270,hernia,none,thicken,0.3,0.03
741,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,hematuria,0.6,0.03
742,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,dysesthesia,0.3,0.03
743,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,asthenia,0.6,0.03
744,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,polymyalgia,0.3,0.03
745,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,passed stones,0.3,0.03
746,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,pleuritic pain,0.3,0.03
747,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,guaiac positive,0.3,0.03
748,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,rale,0.3,0.03
749,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,breath sounds decreased,0.3,0.03
750,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,urge incontinence,0.6,0.03
751,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,dysuria,0.6,0.03
752,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,diarrhea,0.3,0.03
753,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,vertigo,0.3,0.03
754,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,qt interval prolonged,0.3,0.03
755,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,ataxia,0.1,0.03
756,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,paresis,0.3,0.03
757,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,hemianopsia homonymous,0.1,0.03
758,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,tumor cell invasion,0.6,0.03
759,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,hemodynamically stable,0.3,0.03
760,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,mass of body structure,0.6,0.03
761,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,rhonchus,0.3,0.03
762,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,orthostasis,0.3,0.03
763,C0376358,malignant neoplasm of prostate or carcinoma prostate,none,decreased body weight,0.6,0.03
764,C0034063,edema pulmonary,none,urgency ofmicturition,0.3,0.03
765,C0034063,edema pulmonary,none,shortness of breath,0.9,0.03
766,C0034063,edema pulmonary,none,rale,0.6,0.03
767,C0034063,edema pulmonary,none,tachypnea,0.6,0.03
768,C0034063,edema pulmonary,none,orthopnea,0.6,0.03
769,C0034063,edema pulmonary,none,Heberden,0.3,0.03
770,C0034063,edema pulmonary,none,jugular venous distention,0.6,0.03
771,C0034063,edema pulmonary,none,dyspnea,0.9,0.03
772,C0034063,edema pulmonary,none,sweat,0.6,0.03
773,C0034063,edema pulmonary,none,sweating increased,0.6,0.03
774,C0034063,edema pulmonary,none,patient non compliance,0.3,0.03
775,C0034063,edema pulmonary,none,chest discomfort,0.6,0.03
776,C0034063,edema pulmonary,none,hyperkalemia,0.3,0.03
777,C0034063,edema pulmonary,none,sinus rhythm,0.6,0.03
778,C0034063,edema pulmonary,none,pain chest,0.6,0.03
779,C0034063,edema pulmonary,none,hypotension,0.3,0.03
780,C0034063,edema pulmonary,none,wheezing,0.6,0.03
781,C0003507,stenosis aortic valve,none,dyspnea on exertion,0.9,0.03
782,C0003507,stenosis aortic valve,none,syncope,0.6,0.03
783,C0003507,stenosis aortic valve,none,chest discomfort,0.9,0.03
784,C0003507,stenosis aortic valve,none,systolic murmur,0.9,0.03
785,C0003507,stenosis aortic valve,none,sciatica,0.3,0.03
786,C0003507,stenosis aortic valve,none,angina pectoris,0.6,0.03
787,C0003507,stenosis aortic valve,none,pain chest,0.9,0.03
788,C0003507,stenosis aortic valve,none,frothy sputum,0.3,0.03
789,C0003507,stenosis aortic valve,none,bradycardia,0.6,0.03
790,C0003507,stenosis aortic valve,none,shortness of breath,0.9,0.03
791,C0003507,stenosis aortic valve,none,pain,0.6,0.03
792,C0006142,malignant neoplasm of breast or carcinoma breast,none,mass in breast,0.9,0.03
793,C0006142,malignant neoplasm of breast or carcinoma breast,none,mass of body structure,0.6,0.03
794,C0006142,malignant neoplasm of breast or carcinoma breast,none,paresthesia,0.3,0.03
795,C0006142,malignant neoplasm of breast or carcinoma breast,none,retropulsion,0.1,0.03
796,C0006142,malignant neoplasm of breast or carcinoma breast,none,erythema,0.6,0.03
797,C0006142,malignant neoplasm of breast or carcinoma breast,none,difficulty,0.6,0.03
798,C0006142,malignant neoplasm of breast or carcinoma breast,none,lesion,0.6,0.03
799,C0006142,malignant neoplasm of breast or carcinoma breast,none,estrogen use,0.3,0.03
800,C0006142,malignant neoplasm of breast or carcinoma breast,none,burning sensation,0.3,0.03
801,C0006142,malignant neoplasm of breast or carcinoma breast,none,dyspnea,0.3,0.03
802,C0006142,malignant neoplasm of breast or carcinoma breast,none,swelling,0.6,0.03
803,C0006142,malignant neoplasm of breast or carcinoma breast,none,formication,0.1,0.03
804,C0012813,diverticulitis,none,pain abdominal,0.6,0.03
805,C0012813,diverticulitis,none,abscess bacterial,0.3,0.03
806,C0012813,diverticulitis,none,dullness,0.3,0.03
807,C0012813,diverticulitis,none,red blotches,0.3,0.03
808,C0012813,diverticulitis,none,diarrhea,0.6,0.03
809,C0012813,diverticulitis,none,sore to touch,0.6,0.03
810,C0012813,diverticulitis,none,dysuria,0.6,0.03
811,C0012813,diverticulitis,none,pain,0.9,0.03
812,C0012813,diverticulitis,none,vomiting,0.6,0.03
813,C0012813,diverticulitis,none,sinus rhythm,0.3,0.03
814,C0012813,diverticulitis,none,colic abdominal,0.6,0.03
815,C0012813,diverticulitis,none,apyrexial,0.3,0.03
816,C0012813,diverticulitis,none,abdominal tenderness,0.9,0.03
817,C0012813,diverticulitis,none,fever,0.6,0.03
818,C0012813,diverticulitis,none,unsteady gait,0.3,0.03
819,C0012813,diverticulitis,none,thicken,0.3,0.03
820,C0012813,diverticulitis,none,urgency ofmicturition,0.6,0.03
821,C0012813,diverticulitis,none,anorexia,0.6,0.03
822,C0012813,diverticulitis,none,monoclonal,0.1,0.03
823,C0012813,diverticulitis,none,constipation,0.6,0.03
824,C0546817,overload fluid,none,rale,0.6,0.03
825,C0546817,overload fluid,none,jugular venous distention,0.6,0.03
826,C0546817,overload fluid,none,hyperkalemia,0.3,0.03
827,C0546817,overload fluid,none,orthopnea,0.6,0.03
828,C0546817,overload fluid,none,shortness of breath,0.9,0.03
829,C0546817,overload fluid,none,drowsiness,0.6,0.03
830,C0546817,overload fluid,none,sleepy,0.6,0.03
831,C0546817,overload fluid,none,weight gain,0.6,0.03
832,C0546817,overload fluid,none,hypokalemia,0.3,0.03
833,C0546817,overload fluid,none,hypotension,0.6,0.03
834,C0546817,overload fluid,none,swelling,0.9,0.03
835,C0546817,overload fluid,none,distended abdomen,0.6,0.03
836,C0030920,ulcer peptic,none,pain abdominal,0.6,0.03
837,C0030920,ulcer peptic,none,paraparesis,0.1,0.03
838,C0030920,ulcer peptic,none,nausea,0.9,0.03
839,C0030920,ulcer peptic,none,vomiting,0.6,0.03
840,C0030920,ulcer peptic,none,polymyalgia,0.3,0.03
841,C0030920,ulcer peptic,none,out of breath,0.6,0.03
842,C0030920,ulcer peptic,none,pain chest,0.6,0.03
843,C0030920,ulcer peptic,none,hemiplegia,0.1,0.03
844,C0030920,ulcer peptic,none,gurgle,0.3,0.03
845,C0030920,ulcer peptic,none,hunger,0.6,0.03
846,C0030920,ulcer peptic,none,apyrexial,0.3,0.03
847,C0030920,ulcer peptic,none,nervousness,0.6,0.03
848,C0029443,osteomyelitis,none,pain,0.9,0.03
849,C0029443,osteomyelitis,none,redness,0.6,0.03
850,C0029443,osteomyelitis,none,prostate tender,0.3,0.03
851,C0029443,osteomyelitis,none,fever,0.9,0.03
852,C0029443,osteomyelitis,none,difficulty passing urine,0.6,0.03
853,C0029443,osteomyelitis,none,sore to touch,0.6,0.03
854,C0029443,osteomyelitis,none,swelling,0.6,0.03
855,C0029443,osteomyelitis,none,apyrexial,0.3,0.03
856,C0029443,osteomyelitis,none,erythema,0.6,0.03
857,C0029443,osteomyelitis,none,abscess bacterial,0.3,0.03
858,C0029443,osteomyelitis,none,pain foot,0.6,0.03
859,C0029443,osteomyelitis,none,urinary hesitation,0.6,0.03
860,C0017152,gastritis,none,heme positive,0.3,0.03
861,C0017152,gastritis,none,pain abdominal,0.6,0.03
862,C0017152,gastritis,none,vomiting,0.6,0.03
863,C0017152,gastritis,none,disequilibrium,0.3,0.03
864,C0017152,gastritis,none,nausea,0.9,0.03
865,C0017152,gastritis,none,intoxication,0.3,0.03
866,C0017152,gastritis,none,haemorrhage,0.3,0.03
867,C0017152,gastritis,none,guaiac positive,0.3,0.03
868,C0017152,gastritis,none,pain,0.9,0.03
869,C0017152,gastritis,none,decreased body weight,0.6,0.03
870,C0017152,gastritis,none,sore to touch,0.6,0.03
871,C0017152,gastritis,none,dizziness,0.6,0.03
872,C0004610,bacteremia,none,fever,0.9,0.03
873,C0004610,bacteremia,none,chill,0.6,0.03
874,C0004610,bacteremia,none,flushing,0.6,0.03
875,C0004610,bacteremia,none,unresponsiveness,0.3,0.03
876,C0004610,bacteremia,none,indifferent mood,0.3,0.03
877,C0004610,bacteremia,none,urinoma,0.1,0.03
878,C0004610,bacteremia,none,vomiting,0.6,0.03
879,C0004610,bacteremia,none,distended abdomen,0.3,0.03
880,C0004610,bacteremia,none,hypoalbuminemia,0.3,0.03
881,C0004610,bacteremia,none,pustule,0.1,0.03
882,C0004610,bacteremia,none,prostatism,0.1,0.03
883,C0004610,bacteremia,none,diarrhea,0.6,0.03
884,C0004610,bacteremia,none,abdominal tenderness,0.6,0.03
